generation	mnemonic	format_id	format	category	description	launch_class	semantic_model	operand_signature	operand_layout	inst_lo	inst_hi	fixed_mask_lo	fixed_mask_hi	opcode_mask_lo	opcode_mask_hi	parameter_mask_lo	parameter_mask_hi	ignored_mask_lo	ignored_mask_hi	reserved_mask_lo	reserved_mask_hi	seed_assembly
lg200	atomic_sm_add_u32	8	shared-memory	atomic	Atomically reads an unsigned 32-bit integer from workgroup shared memory, computes new = old + source modulo the operand width, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VK8VJ8VD8X0_16PJ2	VK8@INST_LO[7:0];VJ8@INST_LO[23:16];VD8@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	20080000	00000000	fffc0000	00000000	07fc0000	ffff00ff	0003ffff	0000ff00	00000000	00000000	00000000	atomic_sm_add_u32 p0, v0, v0, v0
lg200	atomic_sm_add_u64	8	shared-memory	atomic	Atomically reads an unsigned 64-bit integer from workgroup shared memory, computes new = old + source modulo the operand width, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VK8x2VJ8VD8x2X0_16PJ2	VK8x2@INST_LO[7:0];VJ8@INST_LO[23:16];VD8x2@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	20480000	00000000	fffc0000	00000000	07fc0000	ffff00ff	0003ffff	0000ff00	00000000	00000000	00000000	atomic_sm_add_u64 p0, v0-v1, v0, v0-v1
lg200	atomic_sm_and_b32	8	shared-memory	atomic	Atomically reads a 32-bit bit pattern from workgroup shared memory, computes new = old AND source, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VK8VJ8VD8X0_16PJ2	VK8@INST_LO[7:0];VJ8@INST_LO[23:16];VD8@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	20200000	00000000	bffc0000	00000000	07fc0000	ffff00ff	0003ffff	0000ff00	00000000	00000000	40000000	atomic_sm_and_b32 p0, v0, v0, v0
lg200	atomic_sm_and_b64	8	shared-memory	atomic	Atomically reads a 64-bit bit pattern from workgroup shared memory, computes new = old AND source, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VK8x2VJ8VD8x2X0_16PJ2	VK8x2@INST_LO[7:0];VJ8@INST_LO[23:16];VD8x2@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	20600000	00000000	bffc0000	00000000	07fc0000	ffff00ff	0003ffff	0000ff00	00000000	00000000	40000000	atomic_sm_and_b64 p0, v0-v1, v0, v0-v1
lg200	atomic_sm_cmpswap_eq_u32	8	shared-memory	atomic	Atomically reads an unsigned 32-bit integer from workgroup shared memory, computes new = swap when old equals compare, otherwise old, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VA8VK8VJ8VD8X0_16PJ2	VA8@INST_LO[7:0];VK8@INST_LO[15:8];VJ8@INST_LO[23:16];VD8@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	20040000	00000000	fffc0000	00000000	07fc0000	ffffffff	0003ffff	00000000	00000000	00000000	00000000	atomic_sm_cmpswap_eq_u32 p0, v0, v0, v0, v0
lg200	atomic_sm_cmpswap_eq_u64	8	shared-memory	atomic	Atomically reads an unsigned 64-bit integer from workgroup shared memory, computes new = swap when old equals compare, otherwise old, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VA8x2VK8x2VJ8VD8x2X0_16PJ2	VA8x2@INST_LO[7:0];VK8x2@INST_LO[15:8];VJ8@INST_LO[23:16];VD8x2@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	20440000	00000000	bffc0000	00000000	07fc0000	ffffffff	0003ffff	00000000	00000000	00000000	40000000	atomic_sm_cmpswap_eq_u64 p0, v0-v1, v0, v0-v1, v0-v1
lg200	atomic_sm_cmpswap_gt_f32	8	shared-memory	atomic	Atomically reads a 32-bit floating-point value from workgroup shared memory, computes new = source when old is greater than source, otherwise old, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VK8VJ8VD8X0_16PJ2	VK8@INST_LO[7:0];VJ8@INST_LO[23:16];VD8@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	20380000	00000000	fffc0000	00000000	07fc0000	ffff00ff	0003ffff	0000ff00	00000000	00000000	00000000	atomic_sm_cmpswap_gt_f32 p0, v0, v0, v0
lg200	atomic_sm_cmpswap_gt_f64	8	shared-memory	atomic	Atomically reads a 64-bit floating-point value from workgroup shared memory, computes new = source when old is greater than source, otherwise old, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VK8x2VJ8VD8x2X0_16PJ2	VK8x2@INST_LO[7:0];VJ8@INST_LO[23:16];VD8x2@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	20780000	00000000	fffc0000	00000000	07fc0000	ffff00ff	0003ffff	0000ff00	00000000	00000000	00000000	atomic_sm_cmpswap_gt_f64 p0, v0-v1, v0, v0-v1
lg200	atomic_sm_cmpswap_lt_f32	8	shared-memory	atomic	Atomically reads a 32-bit floating-point value from workgroup shared memory, computes new = source when old is less than source, otherwise old, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VK8VJ8VD8X0_16PJ2	VK8@INST_LO[7:0];VJ8@INST_LO[23:16];VD8@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	203c0000	00000000	fffc0000	00000000	07fc0000	ffff00ff	0003ffff	0000ff00	00000000	00000000	00000000	atomic_sm_cmpswap_lt_f32 p0, v0, v0, v0
lg200	atomic_sm_cmpswap_lt_f64	8	shared-memory	atomic	Atomically reads a 64-bit floating-point value from workgroup shared memory, computes new = source when old is less than source, otherwise old, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VK8x2VJ8VD8x2X0_16PJ2	VK8x2@INST_LO[7:0];VJ8@INST_LO[23:16];VD8x2@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	207c0000	00000000	fffc0000	00000000	07fc0000	ffff00ff	0003ffff	0000ff00	00000000	00000000	00000000	atomic_sm_cmpswap_lt_f64 p0, v0-v1, v0, v0-v1
